Matrice de transition pour le 2021-03-01
                             Anderlecht  Auderghem  Berchem-Sainte-Agathe  Bruxelles  Etterbeek  Evere  Forest (Bruxelles-Capitale)  Ganshoren  Ixelles  Jette  Koekelberg  Molenbeek-Saint-Jean  Saint-Gilles  Saint-Josse-ten-Noode  Schaerbeek  Uccle  Watermael-Boitsfort  Woluwe-Saint-Lambert  Woluwe-Saint-Pierre
Auderghem                      0.000000   1.428571                    0.0   0.000000        0.0    0.0                     0.000000      0.000      0.0  0.000000         0.0              0.000000          0.00               0.000000         0.0    0.0                  0.0                   0.0                  0.0
Berchem-Sainte-Agathe          0.000000   0.000000                    1.0   0.000000        0.0    0.0                     0.000000      0.000      0.0  0.000000         0.0              0.000000          0.00               0.000000         0.0    0.0                  0.0                   0.0                  0.0
Bruxelles                      0.000000   0.000000                    0.0   0.322581        0.0    0.0                     0.000000      0.000      0.0  0.000000         0.0              0.000000          0.00               0.000000         0.0    0.0                  0.0                   0.0                  0.0
Etterbeek                      0.000000   0.000000                    0.0   0.000000        0.9    0.0                     0.000000      0.000      0.0  0.000000         0.0              0.000000          0.00               0.000000         0.0    0.0                  0.0                   0.0                  0.0
Evere                          0.000000   0.000000                    0.0   0.000000        0.0    0.5                     0.000000      0.000      0.0  0.000000         0.0              0.000000          0.00               0.000000         0.0    0.0                  0.0                   0.0                  0.0
Forest (Bruxelles-Capitale)    0.000000   0.000000                    0.0   0.000000        0.0    0.0                     1.181818      0.000      0.0  0.000000         0.0              0.000000          0.00               0.000000         0.0    0.0                  0.0                   0.0                  0.0
Ganshoren                      0.000000   0.000000                    0.0   0.000000        0.0    0.0                     0.000000      0.875      0.0  0.000000         0.0              0.000000          0.00               0.000000         0.0    0.0                  0.0                   0.0                  0.0
Ixelles                        0.000000   0.000000                    0.0   0.000000        0.0    0.0                     0.000000      0.000      0.7  0.000000         0.0              0.000000          0.00               0.000000         0.0    0.0                  0.0                   0.0                  0.0
Jette                          0.000000   0.000000                    0.0   0.000000        0.0    0.0                     0.000000      0.000      0.0  0.538462         0.0              0.000000          0.00               0.000000         0.0    0.0                  0.0                   0.0                  0.0
Koekelberg                     0.000000   0.000000                    0.0   0.000000        0.0    0.0                     0.000000      0.000      0.0  0.000000         1.0              0.000000          0.00               0.000000         0.0    0.0                  0.0                   0.0                  0.0
